Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,1206.0,1208.8,1184.0,1197.4,41338,0,2521212
2025.09.14 00:00:00,1201.0,1207.4,1198.0,1205.8,4149,0,118600
2025.09.13 00:00:00,1203.0,1209.0,1200.0,1201.0,3700,0,221529
2025.09.12 00:00:00,1219.4,1225.0,1193.0,1201.0,51854,0,3434869
2025.09.11 00:00:00,1231.8,1234.0,1207.2,1219.4,44500,0,2693455
2025.09.10 00:00:00,1252.0,1252.6,1222.2,1231.0,30106,0,2185583
2025.09.09 00:00:00,1239.0,1252.8,1237.0,1250.8,37667,0,2537396
2025.09.08 00:00:00,1240.4,1244.8,1226.6,1237.4,33752,0,2250404
2025.09.07 00:00:00,1244.0,1244.4,1237.4,1240.0,3247,0,151801
2025.09.06 00:00:00,1243.2,1244.4,1240.4,1243.6,2500,0,106877
2025.09.05 00:00:00,1228.0,1245.6,1226.4,1239.8,35188,0,2450914
2025.09.04 00:00:00,1228.0,1245.0,1213.6,1226.6,43113,0,3467378
2025.09.03 00:00:00,1220.2,1229.6,1205.2,1226.8,34381,0,2758649
2025.09.02 00:00:00,1229.0,1234.4,1201.0,1220.0,61076,0,5036712
2025.09.01 00:00:00,1245.8,1253.0,1221.2,1225.6,40852,0,2796981
2025.08.31 00:00:00,1239.0,1242.4,1236.8,1242.0,3709,0,219045
2025.08.30 00:00:00,1238.4,1242.0,1231.0,1238.8,5176,0,314107
2025.08.29 00:00:00,1221.0,1244.2,1217.6,1238.4,76373,0,5032339
2025.08.28 00:00:00,1225.4,1243.6,1205.4,1217.0,101554,0,8977727
2025.08.27 00:00:00,1172.0,1227.8,1163.2,1225.2,81836,0,7473496
2025.08.26 00:00:00,1170.0,1194.0,1164.6,1172.0,41874,0,3117087
2025.08.25 00:00:00,1172.2,1179.6,1155.0,1171.2,50702,0,3550394
2025.08.24 00:00:00,1181.6,1184.8,1167.0,1171.0,10806,0,578335
2025.08.23 00:00:00,1186.2,1197.0,1186.0,1189.0,8825,0,571097
2025.08.22 00:00:00,1164.8,1188.8,1151.4,1184.8,69926,0,4995897
2025.08.21 00:00:00,1216.6,1217.2,1158.0,1164.0,103791,0,9485819
2025.08.20 00:00:00,1251.0,1257.2,1210.2,1215.0,70566,0,5219197
2025.08.19 00:00:00,1275.2,1284.0,1239.2,1250.6,58949,0,5825400
2025.08.18 00:00:00,1224.4,1303.6,1222.2,1269.8,89949,0,8050871
2025.08.17 00:00:00,1240.4,1242.4,1239.4,1239.4,2999,0,228246
2025.08.16 00:00:00,1239.4,1251.2,1239.4,1243.2,19875,0,2047179
2025.08.15 00:00:00,1265.0,1293.0,1251.4,1278.8,85612,0,6684174
2025.08.14 00:00:00,1241.8,1273.4,1221.2,1264.4,73412,0,6764469
2025.08.13 00:00:00,1243.0,1260.0,1230.0,1241.2,69307,0,5894812
2025.08.12 00:00:00,1222.4,1252.8,1206.8,1244.0,61040,0,4881883
2025.08.11 00:00:00,1224.6,1234.4,1205.2,1222.0,115110,0,8994611
2025.08.08 00:00:00,1139.0,1200.0,1120.0,1195.8,94391,0,8588429
2025.08.07 00:00:00,1084.0,1176.0,1072.2,1138.0,170028,0,17766223
2025.08.06 00:00:00,1058.8,1097.6,1035.4,1083.8,69630,0,5382251
2025.08.05 00:00:00,1059.4,1063.4,1041.6,1058.6,43733,0,2661425
2025.08.04 00:00:00,1018.8,1059.0,1013.0,1058.2,69961,2,3383596
2025.08.01 00:00:00,1017.4,1030.0,1003.0,1014.0,55070,0,2745851
2025.07.31 00:00:00,1019.0,1025.0,1008.8,1014.2,24158,0,1532659
2025.07.30 00:00:00,1028.2,1028.6,1013.2,1018.8,22885,0,1116118
2025.07.29 00:00:00,1023.4,1034.4,1019.6,1028.0,30992,0,1770620
2025.07.28 00:00:00,1049.8,1050.6,1012.4,1024.8,60033,0,3483281
2025.07.27 00:00:00,1055.4,1057.2,1050.2,1052.0,2012,0,55051
2025.07.26 00:00:00,1056.4,1060.2,1052.8,1056.8,2658,0,96153
2025.07.25 00:00:00,1076.0,1086.2,1046.8,1052.8,58187,0,3303854
2025.07.24 00:00:00,1071.4,1084.0,1064.2,1073.2,41030,0,1821983
2025.07.23 00:00:00,1086.0,1090.8,1066.2,1071.4,72303,0,3074888
2025.07.22 00:00:00,1094.6,1095.8,1075.0,1085.0,30421,0,1808712
2025.07.21 00:00:00,1099.0,1109.0,1086.2,1091.6,34892,0,2109111
2025.07.20 00:00:00,1106.4,1108.4,1096.2,1102.2,4149,0,238450
2025.07.19 00:00:00,1081.8,1107.8,1080.2,1096.4,11193,0,676851
2025.07.18 00:00:00,1037.2,1082.2,1034.4,1082.0,48635,0,3446819
2025.07.17 00:00:00,1045.0,1060.8,1031.2,1034.0,30804,0,2397986
2025.07.16 00:00:00,1049.0,1055.0,1037.4,1044.2,30466,0,2051327
2025.07.15 00:00:00,1036.2,1052.2,1031.0,1046.8,40766,0,2288067
2025.07.14 00:00:00,986.8,1038.0,966.6,1031.2,76290,0,4927172
